year,rank,song,artist,gender
2006,100,For You I Will (Confidence),Teddy Geiger,nb
2006,66,Smack That,Akon Featuring Eminem,man
2006,82,Hate Me,Blue October,man
2006,71,Who Says You Can't Go Home,Bon Jovi,man
2006,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,man
2006,73,Touch It,Busta Rhymes,man
2006,8,Ridin',Chamillionaire Featuring Krayzie Bone,man
2006,63,Pullin' Me Back,Chingy Featuring Tyrese,man
2006,16,Run It!,Chris Brown,man
2006,44,Yo (Excuse Me Miss),Chris Brown,man
2006,86,Say Goodbye,Chris Brown,man
2006,69,Gimme That,Chris Brown Featuring Lil Wayne,man
2006,46,Laffy Taffy,D4L,man
2006,74,Rompe,Daddy Yankee,man
2006,1,Bad Day,Daniel Powter,man
2006,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,man
2006,90,When I'm Gone,Eminem,man
2006,62,Shake That,Eminem Featuring Nate Dogg,man
2006,33,"Dance, Dance",Fall Out Boy,man
2006,68,"Sugar, We're Goin' Down",Fall Out Boy,man
2006,7,Crazy,Gnarls Barkley,man
2006,30,Lips Of An Angel,Hinder,man
2006,4,You're Beautiful,James Blunt,man
2006,60,Unpredictable,Jamie Foxx Featuring Ludacris,man
2006,65,Chain Hang Low,Jibbs,man
2006,87,Waiting On The World To Change,John Mayer,man
2006,58,There It Go! (The Whistle Song),Juelz Santana,man
2006,9,SexyBack,Justin Timberlake,man
2006,61,My Love,Justin Timberlake Featuring T.I.,man
2006,34,Gold Digger,Kanye West Featuring Jamie Foxx,man
2006,83,You And Me,Lifehouse,man
2006,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,man
2006,35,Money Maker,Ludacris Featuring Pharrell,man
2006,17,So Sick,Ne-Yo,man
2006,51,Sexy Love,Ne-Yo,man
2006,94,When You're Mad,Ne-Yo,man
2006,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",man
2006,54,What's Left Of Me,Nick Lachey,man
2006,38,Photograph,Nickelback,man
2006,49,Savin' Me,Nickelback,man
2006,53,Far Away,Nickelback,man
2006,20,I Write Sins Not Tragedies,Panic! At The Disco,man
2006,26,What Hurts The Most,Rascal Flatts,man
2006,76,Life Is A Highway,Rascal Flatts,man
2006,67,One Wish,Ray J,man
2006,23,Dani California,Red Hot Chili Peppers,man
2006,2,Temperature,Sean Paul,man
2006,81,We Be Burnin',Sean Paul,man
2006,29,Chasing Cars,Snow Patrol,man
2006,98,I'm Sprung,T-Pain,man
2006,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,man
2006,47,What You Know,T.I.,man
2006,95,Why You Wanna,T.I.,man
2006,99,Do I Make You Proud,Taylor Hicks,man
2006,21,Move Along,The All-American Rejects,man
2006,48,Dirty Little Secret,The All-American Rejects,man
2006,13,Over My Head (Cable Car),The Fray,man
2006,27,How To Save A Life,The Fray,man
2006,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,man
2006,59,Shoulder Lean,Young Dro Featuring T.I.,man
2006,88,Soul Survivor,Young Jeezy Featuring Akon,man
2006,18,It's Goin' Down,Yung Joc,man
2006,75,Deja Vu,Beyonce Featuring Jay Z,mixed
2006,10,Check On It,Beyonce Featuring Slim Thug,mixed
2006,31,Everytime We Touch,Cascada,mixed
2006,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,mixed
2006,80,Get Up,Ciara Featuring Chamillionaire,mixed
2006,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",mixed
2006,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl,mixed
2006,77,Call Me When You're Sober,Evanescence,mixed
2006,55,So What,Field Mob Featuring Ciara,mixed
2006,43,Where'd You Go,Fort Minor Featuring Holly Brook,mixed
2006,97,Feel Good Inc,Gorillaz,mixed
2006,64,Bossy,Kelis Featuring Too $hort,mixed
2006,3,Promiscuous,Nelly Furtado Featuring Timbaland,mixed
2006,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,mixed
2006,5,Hips Don't Lie,Shakira Featuring Wyclef Jean,mixed
2006,42,My Humps,The Black Eyed Peas,mixed
2006,89,Pump It,The Black Eyed Peas,mixed
2006,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,mixed
2006,84,Beep,The Pussycat Dolls Featuring will.i.am,mixed
2006,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,mixed
2006,78,"Jesus, Take The Wheel",Carrie Underwood,woman
2006,14,Me & U,Cassie,woman
2006,32,Ain't No Other Man,Christina Aguilera,woman
2006,79,Show Stopper,Danity Kane,woman
2006,22,London Bridge,Fergie,woman
2006,72,Too Little Too Late,JoJo,woman
2006,39,Because Of You,Kelly Clarkson,woman
2006,45,Walk Away,Kelly Clarkson,woman
2006,93,Love,Keyshia Cole,woman
2006,57,Black Horse & The Cherry Tree,KT Tunstall,woman
2006,91,Hung Up,Madonna,woman
2006,50,Don't Forget About Us,Mariah Carey,woman
2006,11,Be Without You,Mary J. Blige,woman
2006,6,Unwritten,Natasha Bedingfield,woman
2006,96,Stupid Girls,P!nk,woman
2006,19,SOS,Rihanna,woman
2006,28,Unfaithful,Rihanna,woman
2006,40,Stickwitu,The Pussycat Dolls,woman
2007,87,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,man
2007,15,Smack That,Akon Featuring Eminem,man
2007,8,I Wanna Love You,Akon Featuring Snoop Dogg,man
2007,84,Cyclone,Baby Bash Featuring T-Pain,man
2007,53,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,man
2007,58,I Tried,Bone Thugs-N-Harmony Featuring Akon,man
2007,54,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,man
2007,88,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,man
2007,77,The Great Escape,Boys Like Girls,man
2007,93,Kiss Kiss,Chris Brown Featuring T-Pain,man
2007,17,It's Not Over,Daughtry,man
2007,25,Home,Daughtry,man
2007,41,Wait For You,Elliott Yamin,man
2007,44,Make Me Better,Fabolous Featuring Ne-Yo,man
2007,32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,man
2007,37,Thnks Fr Th Mmrs,Fall Out Boy,man
2007,43,Make It Rain,Fat Joe Featuring Lil Wayne,man
2007,98,Paralyzer,Finger Eleven,man
2007,23,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,man
2007,81,Here (In Your Arms),Hellogoodbye,man
2007,46,Lips Of An Angel,Hinder,man
2007,97,Better Than Me,Hinder,man
2007,34,"Pop, Lock & Drop It",Huey,man
2007,56,A Bay Bay,Hurricane Chris,man
2007,72,Bed,J. Holiday,man
2007,28,We Fly High,Jim Jones,man
2007,47,Waiting On The World To Change,John Mayer,man
2007,22,What Goes Around...Comes Around,Justin Timberlake,man
2007,39,Summer Love,Justin Timberlake,man
2007,63,SexyBack,Justin Timberlake,man
2007,96,LoveStoned,Justin Timberlake,man
2007,26,My Love,Justin Timberlake Featuring T.I.,man
2007,27,Stronger,Kanye West,man
2007,86,First Time,Lifehouse,man
2007,38,What I've Done,Linkin Park,man
2007,51,Get It Shawty,Lloyd,man
2007,40,You,Lloyd Featuring Lil Wayne,man
2007,92,Money Maker,Ludacris Featuring Pharrell,man
2007,13,Makes Me Wonder,Maroon 5,man
2007,16,This Is Why I'm Hot,Mims,man
2007,59,Welcome To The Black Parade,My Chemical Romance,man
2007,57,Because Of You,Ne-Yo,man
2007,36,Rockstar,Nickelback,man
2007,50,If Everyone Cared,Nickelback,man
2007,94,Far Away,Nickelback,man
2007,45,Ice Box,Omarion,man
2007,7,Hey There Delilah,Plain White T's,man
2007,60,Shawty,Plies Featuring T-Pain,man
2007,82,On The Hotline,Pretty Ricky,man
2007,100,Same Girl,R. Kelly Duet With Usher,man
2007,49,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),man
2007,91,Snow ((Hey Oh)),Red Hot Chili Peppers,man
2007,73,Throw Some D's,Rich Boy Featuring Polow Da Don,man
2007,48,Lost Without U,Robin Thicke,man
2007,31,Beautiful Girls,Sean Kingston,man
2007,14,Party Like A Rockstar,Shop Boyz,man
2007,99,That's That,Snoop Dogg Featuring R. Kelly,man
2007,61,Chasing Cars,Snow Patrol,man
2007,20,Crank That (Soulja Boy),Soulja Boy Tell'em,man
2007,33,Bartender,T-Pain Featuring Akon,man
2007,5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,man
2007,75,Big Things Poppin' (Do It),T.I.,man
2007,55,It Ends Tonight,The All-American Rejects,man
2007,24,How To Save A Life,The Fray,man
2007,52,Face Down,The Red Jumpsuit Apparatus,man
2007,66,Apologize,Timbaland Featuring OneRepublic,man
2007,30,Walk It Out,Unk,man
2007,78,2 Step,Unk,man
2007,80,Go Getta,Young Jeezy Featuring R. Kelly,man
2007,95,Rock Yo Hips,Crime Mob Featuring Lil Scrappy,mixed
2007,42,Last Night,Diddy Featuring Keyshia Cole,mixed
2007,10,Glamorous,Fergie Featuring Ludacris,mixed
2007,3,The Sweet Escape,Gwen Stefani Featuring Akon,mixed
2007,35,Runaway Love,Ludacris Featuring Mary J. Blige,mixed
2007,79,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,mixed
2007,85,Break It Off,Rihanna & Sean Paul,mixed
2007,2,Umbrella,Rihanna Featuring Jay-Z,mixed
2007,18,The Way I Are,Timbaland Featuring Keri Hilson,mixed
2007,21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,mixed
2007,11,Don't Matter,Akon,woman
2007,76,No One,Alicia Keys,woman
2007,74,Rehab,Amy Winehouse,woman
2007,12,Girlfriend,Avril Lavigne,woman
2007,64,Keep Holding On,Avril Lavigne,woman
2007,1,Irreplaceable,Beyonce,woman
2007,62,Beautiful Liar,Beyonce & Shakira,woman
2007,6,Before He Cheats,Carrie Underwood,woman
2007,68,Like A Boy,Ciara,woman
2007,71,Promise,Ciara,woman
2007,67,Bubbly,Colbie Caillat,woman
2007,4,Big Girls Don't Cry,Fergie,woman
2007,19,Fergalicious,Fergie,woman
2007,83,Wind It Up,Gwen Stefani,woman
2007,70,Never Again,Kelly Clarkson,woman
2007,65,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,woman
2007,9,Say It Right,Nelly Furtado,woman
2007,29,U + Ur Hand,P!nk,woman
2007,69,Who Knew,P!nk,woman
2007,90,Shut Up And Drive,Rihanna,woman
2007,89,Teardrops On My Guitar,Taylor Swift,woman
2008,100,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,man
2008,52,It's Not My Time,3 Doors Down,man
2008,71,Cyclone,Baby Bash Featuring T-Pain,man
2008,44,Sorry,Buckcherry,man
2008,9,With You,Chris Brown,man
2008,10,Forever,Chris Brown,man
2008,19,Kiss Kiss,Chris Brown Featuring T-Pain,man
2008,51,What You Got,Colby O'Donis Featuring Akon,man
2008,13,Viva La Vida,Coldplay,man
2008,95,Feels Like Tonight,Daughtry,man
2008,76,Crush,David Archuleta,man
2008,66,Get Like Me,David Banner Featuring Chris Brown,man
2008,69,The Time Of My Life,David Cook,man
2008,25,Paralyzer,Finger Eleven,man
2008,1,Low,Flo Rida Featuring T-Pain,man
2008,59,In The Ayer,Flo Rida Featuring will.i.am,man
2008,87,In Love With A Girl,Gavin DeGraw,man
2008,94,Love Remains The Same,Gavin Rossdale,man
2008,64,Suffocate,J. Holiday,man
2008,27,I'm Yours,Jason Mraz,man
2008,28,Leavin',Jesse McCartney,man
2008,60,Say,John Mayer,man
2008,73,Burnin' Up,Jonas Brothers,man
2008,74,Love Lockdown,Kanye West,man
2008,90,Flashing Lights,Kanye West Featuring Dwele,man
2008,79,Good Life,Kanye West Featuring T-Pain,man
2008,29,Dangerous,Kardinal Offishall Featuring Akon,man
2008,65,Let It Rock,Kevin Rudolf Featuring Lil Wayne,man
2008,85,All Summer Long,Kid Rock,man
2008,43,A Milli,Lil Wayne,man
2008,91,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,man
2008,4,Lollipop,Lil Wayne Featuring Static Major,man
2008,40,Got Money,Lil Wayne Featuring T-Pain,man
2008,55,Shadow Of The Day,Linkin Park,man
2008,63,Superstar,Lupe Fiasco Featuring Matthew Santos,man
2008,32,Shake It,Metro Station,man
2008,20,Closer,Ne-Yo,man
2008,57,Miss Independent,Ne-Yo,man
2008,33,Stop And Stare,OneRepublic,man
2008,77,Hypnotized,Plies Featuring Akon,man
2008,38,Bust It Baby Part 2,Plies Featuring Ne-Yo,man
2008,11,Sexy Can I,Ray J & Yung Berg,man
2008,84,The Boss,Rick Ross Featuring T-Pain,man
2008,98,Into The Night,Santana Featuring Chad Kroeger,man
2008,97,Addicted,Saving Abel,man
2008,34,Take You There,Sean Kingston,man
2008,58,Fall For You,Secondhand Serenade,man
2008,50,Sensual Seduction,Snoop Dogg,man
2008,54,Crank That (Soulja Boy),Soulja Boy Tell'em,man
2008,46,Can't Believe It,T-Pain Featuring Lil Wayne,man
2008,15,Whatever You Like,T.I.,man
2008,88,My Life,The Game Featuring Lil Wayne,man
2008,75,I Luv Your Girl,The-Dream,man
2008,70,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",man
2008,5,Apologize,Timbaland Featuring OneRepublic,man
2008,93,You're Gonna Miss This,Trace Adkins,man
2008,86,Can't Help But Wait,Trey Songz,man
2008,8,Love In This Club,Usher Featuring Young Jeezy,man
2008,45,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,man
2008,68,Put On,Young Jeezy Featuring Kanye West,man
2008,39,American Boy,Estelle Featuring Kanye West,mixed
2008,6,No Air,Jordin Sparks Duet With Chris Brown,mixed
2008,23,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,mixed
2008,72,Love Like This,Natasha Bedingfield Featuring Sean Kingston,mixed
2008,62,Hate That I Love You,Rihanna Featuring Ne-Yo,mixed
2008,37,Live Your Life,T.I. Featuring Rihanna,mixed
2008,96,The Way I Are,Timbaland Featuring Keri Hilson,mixed
2008,56,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",mixed
2008,31,See You Again,Miley Cyrus,nb
2008,92,7 Things,Miley Cyrus,nb
2008,3,No One,Alicia Keys,woman
2008,47,Like You'll Never See Me Again,Alicia Keys,woman
2008,80,Womanizer,Britney Spears,woman
2008,83,Piece Of Me,Britney Spears,woman
2008,21,Bubbly,Colbie Caillat,woman
2008,67,Realize,Colbie Caillat,woman
2008,42,Damaged,Danity Kane,woman
2008,26,Clumsy,Fergie,woman
2008,78,Big Girls Don't Cry,Fergie,woman
2008,30,Tattoo,Jordin Sparks,woman
2008,61,One Step At A Time,Jordin Sparks,woman
2008,14,I Kissed A Girl,Katy Perry,woman
2008,36,Hot N Cold,Katy Perry,woman
2008,89,I Remember,Keyshia Cole,woman
2008,99,Heaven Sent,Keyshia Cole,woman
2008,2,Bleeding Love,Leona Lewis,woman
2008,53,Better In Time,Leona Lewis,woman
2008,35,Paper Planes,M.I.A.,woman
2008,22,Touch My Body,Mariah Carey,woman
2008,82,Just Fine,Mary J. Blige,woman
2008,18,Pocketful Of Sunshine,Natasha Bedingfield,woman
2008,24,So What,P!nk,woman
2008,12,Take A Bow,Rihanna,woman
2008,16,Disturbia,Rihanna,woman
2008,17,Don't Stop The Music,Rihanna,woman
2008,7,Love Song,Sara Bareilles,woman
2008,41,Our Song,Taylor Swift,woman
2008,48,Teardrops On My Guitar,Taylor Swift,woman
2008,81,Love Story,Taylor Swift,woman
2008,49,When I Grow Up,The Pussycat Dolls,woman
2009,30,Don't Trust Me,3OH!3,man
2009,54,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,man
2009,73,I Love College,Asher Roth,man
2009,93,People Are Crazy,Billy Currington,man
2009,72,Love Drunk,Boys Like Girls,man
2009,84,Then,Brad Paisley,man
2009,55,Viva La Vida,Coldplay,man
2009,63,No Surprise,Daughtry,man
2009,22,Best I Ever Had,Drake,man
2009,88,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",man
2009,47,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",man
2009,71,Throw It In The Bag,Fabolous Featuring The-Dream,man
2009,6,Right Round,Flo Rida,man
2009,78,21 Guns,Green Day,man
2009,83,Replay,Iyaz,man
2009,16,Blame It,Jamie Foxx Featuring T-Pain,man
2009,75,Big Green Tractor,Jason Aldean,man
2009,34,Whatcha Say,Jason Derulo,man
2009,7,I'm Yours,Jason Mraz,man
2009,20,Down,Jay Sean Featuring Lil Wayne,man
2009,37,Birthday Sex,Jeremih,man
2009,86,How Do You Sleep?,Jesse McCartney Featuring Ludacris,man
2009,98,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,man
2009,92,Green Light,John Legend Featuring Andre 3000,man
2009,89,One Time,Justin Bieber,man
2009,9,Heartless,Kanye West,man
2009,44,Love Lockdown,Kanye West,man
2009,32,Let It Rock,Kevin Rudolf Featuring Lil Wayne,man
2009,28,Day 'N' Nite,Kid Cudi,man
2009,14,Use Somebody,Kings Of Leon,man
2009,61,New Divide,Linkin Park,man
2009,65,Break Up,Mario Featuring Gucci Mane & Sean Garrett,man
2009,99,Pretty Wings,Maxwell,man
2009,42,Mad,Ne-Yo,man
2009,59,Miss Independent,Ne-Yo,man
2009,51,Gotta Be Somebody,Nickelback,man
2009,70,If Today Was Your Last Day,Nickelback,man
2009,60,Fireflies,Owl City,man
2009,17,I Know You Want Me (Calle Ocho),Pitbull,man
2009,46,Hotel Room Service,Pitbull,man
2009,85,Her Diamonds,Rob Thomas,man
2009,33,Fire Burning,Sean Kingston,man
2009,26,Second Chance,Shinedown,man
2009,19,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,man
2009,79,Turn My Swag On,Soulja Boy Tell'em,man
2009,40,Whatever You Like,T.I.,man
2009,12,Dead And Gone,T.I. Featuring Justin Timberlake,man
2009,10,Gives You Hell,The All-American Rejects,man
2009,13,You Found Me,The Fray,man
2009,100,Never Say Never,The Fray,man
2009,80,Rockin' That Thang,The-Dream,man
2009,67,Every Girl,Young Money,man
2009,81,Chicken Fried,Zac Brown Band,man
2009,94,Whatever It Is,Zac Brown Band,man
2009,43,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,mixed
2009,58,Sugar,Flo Rida Featuring Wynter,mixed
2009,62,Empire State Of Mind,Jay-Z + Alicia Keys,mixed
2009,31,Run This Town,"Jay-Z, Rihanna & Kanye West",mixed
2009,15,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,mixed
2009,49,Turnin Me On,Keri Hilson Featuring Lil Wayne,mixed
2009,90,I Run To You,Lady Antebellum,mixed
2009,3,Just Dance,Lady Gaga Featuring Colby O'Donis,mixed
2009,97,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,mixed
2009,18,Live Your Life,T.I. Featuring Rihanna,mixed
2009,1,Boom Boom Pow,The Black Eyed Peas,mixed
2009,4,I Gotta Feeling,The Black Eyed Peas,mixed
2009,21,The Climb,Miley Cyrus,nb
2009,29,Party In The U.S.A.,Miley Cyrus,nb
2009,56,Right Now (Na Na Na),Akon,woman
2009,8,Single Ladies (Put A Ring On It),Beyonce,woman
2009,24,Halo,Beyonce,woman
2009,48,If I Were A Boy,Beyonce,woman
2009,66,Sweet Dreams,Beyonce,woman
2009,82,Diva,Beyonce,woman
2009,27,Circus,Britney Spears,woman
2009,39,Womanizer,Britney Spears,woman
2009,74,If U Seek Amy,Britney Spears,woman
2009,87,3,Britney Spears,woman
2009,68,Fallin' For You,Colbie Caillat,woman
2009,57,Battlefield,Jordin Sparks,woman
2009,25,Hot N Cold,Katy Perry,woman
2009,36,Waking Up In Vegas,Katy Perry,woman
2009,23,My Life Would Suck Without You,Kelly Clarkson,woman
2009,91,I Do Not Hook Up,Kelly Clarkson,woman
2009,95,Already Gone,Kelly Clarkson,woman
2009,96,Goodbye,Kristinia DeBarge,woman
2009,2,Poker Face,Lady Gaga,woman
2009,35,LoveGame,Lady Gaga,woman
2009,53,Paparazzi,Lady Gaga,woman
2009,41,Obsessed,Mariah Carey,woman
2009,38,Sober,P!nk,woman
2009,45,So What,P!nk,woman
2009,52,Please Don't Leave Me,P!nk,woman
2009,77,Disturbia,Rihanna,woman
2009,64,She Wolf,Shakira,woman
2009,5,Love Story,Taylor Swift,woman
2009,11,You Belong With Me,Taylor Swift,woman
2009,76,White Horse,Taylor Swift,woman
2009,50,I Hate This Part,The Pussycat Dolls,woman
2009,69,Untouched,The Veronicas,woman
2010,45,Whataya Want From Me,Adam Lambert,man
2010,11,Nothin' On You,B.o.B Featuring Bruno Mars,man
2010,63,Magic,B.o.B Featuring Rivers Cuomo,man
2010,18,Just The Way You Are,Bruno Mars,man
2010,98,Teach Me How To Dougie,Cali Swag District,man
2010,68,Deuces,Chris Brown Featuring Tyga & Kevin McCall,man
2010,96,Life After You,Daughtry,man
2010,26,Sexy Chick,David Guetta Featuring Akon,man
2010,79,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",man
2010,32,Find Your Love,Drake,man
2010,60,Over,Drake,man
2010,71,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",man
2010,24,Not Afraid,Eminem,man
2010,12,I Like It,Enrique Iglesias Featuring Pitbull,man
2010,40,Club Can't Handle Me,Flo Rida Featuring David Guetta,man
2010,25,Replay,Iyaz,man
2010,14,In My Head,Jason Derulo,man
2010,34,Ridin' Solo,Jason Derulo,man
2010,43,Whatcha Say,Jason Derulo,man
2010,41,Down,Jay Sean Featuring Lil Wayne,man
2010,53,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,man
2010,50,Young Forever,Jay-Z + Mr. Hudson,man
2010,100,"Lover, Lover",Jerrod Niemann,man
2010,44,Baby,Justin Bieber Featuring Ludacris,man
2010,80,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",man
2010,87,Use Somebody,Kings Of Leon,man
2010,48,Live Like We're Dying,Kris Allen,man
2010,90,Right Above It,Lil Wayne Featuring Drake,man
2010,36,How Low,Ludacris,man
2010,62,Misery,Maroon 5,man
2010,39,Haven't Met You Yet,Michael Buble,man
2010,19,Cooler Than Me,Mike Posner,man
2010,35,Just A Dream,Nelly,man
2010,65,Tie Me Down,New Boyz Featuring Ray J,man
2010,54,All The Right Moves,OneRepublic,man
2010,76,Secrets,OneRepublic,man
2010,30,Fireflies,Owl City,man
2010,89,Eenie Meenie,Sean Kingston & Justin Bieber,man
2010,9,Dynamite,Taio Cruz,man
2010,10,Break Your Heart,Taio Cruz Featuring Ludacris,man
2010,27,Breakeven,The Script,man
2010,85,Say Something,Timbaland Featuring Drake,man
2010,38,Carry Out,Timbaland Featuring Justin Timberlake,man
2010,3,"Hey, Soul Sister",Train,man
2010,23,Billionaire,Travie McCoy Featuring Bruno Mars,man
2010,31,Say Aah,Trey Songz Featuring Fabolous,man
2010,97,Smile,Uncle Kracker,man
2010,83,There Goes My Baby,Usher,man
2010,22,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,man
2010,82,Hey Daddy (Daddy's Home),Usher Featuring Plies,man
2010,5,OMG,Usher Featuring will.i.am,man
2010,13,BedRock,Young Money Featuring Lloyd,man
2010,73,My First Kiss,3OH!3 Featuring Ke$ha,mixed
2010,6,Airplanes,B.o.B Featuring Hayley Williams,mixed
2010,72,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,mixed
2010,7,Love The Way You Lie,Eminem Featuring Rihanna,mixed
2010,37,Like A G6,Far*East Movement Featuring Cataracs & Dev,mixed
2010,21,Empire State Of Mind,Jay-Z + Alicia Keys,mixed
2010,4,California Gurls,Katy Perry Featuring Snoop Dogg,mixed
2010,51,Blah Blah Blah,Ke$ha Featuring 3OH!3,mixed
2010,42,Bulletproof,La Roux,mixed
2010,2,Need You Now,Lady Antebellum,mixed
