artist,gender
2 Chainz,man
2 Chainz Featuring Drake,man
2 Pistols Featuring T-Pain & Tay Dizm,man
21 Savage,man
24kGoldn Featuring iann dior,man
3 Doors Down,man
3OH!3,man
3OH!3 Featuring Ke$ha,mixed
5 Seconds Of Summer,man
50 Cent Featuring Justin Timberlake & Timbaland,man
6ix9ine,man
6ix9ine Featuring Nicki Minaj & Murda Beatz,mixed
A Boogie Wit da Hoodie,man
A Boogie Wit da Hoodie Featuring 6ix9ine,man
A Boogie Wit da Hoodie Featuring Kodak Black,man
A Great Big World & Christina Aguilera,mixed
A$AP Ferg Featuring Nicki Minaj,mixed
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",man
AWOLNATION,man
Ace Hood Featuring Future & Rick Ross,man
Adam Lambert,man
Adele,woman
Akon,woman
Akon Featuring Colby O'Donis & Kardinal Offishall,man
Akon Featuring Eminem,man
Akon Featuring Snoop Dogg,man
Alessia Cara,woman
Alex Clare,man
Alicia Keys,woman
Alicia Keys Featuring Nicki Minaj,woman
Aloe Blacc,man
American Authors,man
Amine,man
Amy Winehouse,woman
Andy Grammer,man
Anna Kendrick,woman
Ariana Grande,woman
Ariana Grande & Justin Bieber,mixed
Ariana Grande & Social House,mixed
Ariana Grande & The Weeknd,mixed
Ariana Grande Featuring Iggy Azalea,woman
Ariana Grande Featuring Mac Miller,mixed
Ariana Grande Featuring Nicki Minaj,woman
Ariana Grande Featuring Zedd,mixed
Arizona Zervas,man
Asher Roth,man
Ava Max,woman
Avicii,man
Avril Lavigne,woman
Ayo & Teo,man
B.o.B,man
B.o.B Featuring Bruno Mars,man
B.o.B Featuring Hayley Williams,mixed
B.o.B Featuring Rivers Cuomo,man
BENEE Featuring Gus Dapperton,mixed
BTS,man
Baauer,man
Baby Bash Featuring T-Pain,man
Baby Boy Da Prince Featuring Lil Boosie,man
Bad Bunny Featuring Drake,man
Bad Meets Evil Featuring Bruno Mars,man
Bastille,man
Bazzi,man
Bazzi Featuring Camila Cabello,mixed
Bebe Rexha & Florida Georgia Line,mixed
Becky G,woman
Beyonce,woman
Beyonce & Shakira,woman
Beyonce Featuring Jay Z,mixed
Beyonce Featuring Slim Thug,mixed
Big Sean,man
Big Sean Featuring Chris Brown,man
Big Sean Featuring Drake,man
Big Sean Featuring E-40,man
Big Sean Featuring Nicki Minaj,mixed
Billie Eilish,woman
Billy Currington,man
Black Eyed Peas X J Balvin,mixed
Blake Shelton,man
Blake Shelton Duet With Gwen Stefani,mixed
Blake Shelton Featuring Pistol Annies & Friends,mixed
Blanco Brown,man
BlocBoy JB Featuring Drake,man
Blue October,man
Blueface,man
Bobby Shmurda,man
Bon Jovi,man
Bone Thugs-N-Harmony Featuring Akon,man
Bow Wow Featuring Chris Brown & Johnta Austin,man
Bow Wow Featuring T-Pain & Johnta Austin,man
Boys Like Girls,man
Boys Like Girls Featuring Taylor Swift,mixed
Brad Paisley,man
Brad Paisley Duet With Carrie Underwood,mixed
Brantley Gilbert,man
Brett Young,man
Britney Spears,woman
Bruno Mars,man
Bruno Mars & Cardi B,mixed
Bryson Tiller,man
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,man
Buckcherry,man
Busta Rhymes,man
Ca$h Out,man
Calboy,man
Cali Swag District,man
Calvin Harris,man
Calvin Harris & Disciples,man
Calvin Harris & Dua Lipa,mixed
Calvin Harris Featuring Ellie Goulding,mixed
Calvin Harris Featuring Florence Welch,mixed
Calvin Harris Featuring Frank Ocean & Migos,man
Calvin Harris Featuring Ne-Yo,man
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",mixed
Calvin Harris Featuring Rihanna,mixed
Camila Cabello,woman
Camila Cabello Featuring DaBaby,mixed
Camila Cabello Featuring Young Thug,mixed
Capital Cities,man
Cardi B,woman
Cardi B & Bruno Mars,mixed
Cardi B Featuring 21 Savage,mixed
Cardi B Featuring Megan Thee Stallion,woman
"Cardi B, Bad Bunny & J Balvin",mixed
Carly Pearce & Lee Brice,mixed
Carly Rae Jepsen,woman
Carrie Underwood,woman
Cascada,mixed
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",man
Cassie,woman
Chamillionaire Featuring Krayzie Bone,man
Charli XCX,woman
Charlie Puth,man
Charlie Puth Featuring Meghan Trainor,mixed
Charlie Puth Featuring Selena Gomez,mixed
Chase Rice,man
Cheat Codes Featuring Demi Lovato,mixed
Cher Lloyd,woman
Cherish Featuring Sean Paul Of The YoungBloodZ,mixed
Childish Gambino,man
Chingy Featuring Tyrese,man
Chris Brown,man
Chris Brown & Tyga,man
Chris Brown & Young Thug,man
Chris Brown Featuring Drake,man
Chris Brown Featuring Lil Wayne,man
Chris Brown Featuring Lil Wayne & Busta Rhymes,man
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,man
Chris Brown Featuring T-Pain,man
Chris Brown Featuring Tyga & Kevin McCall,man
Chris Brown Featuring Usher & Rick Ross,man
Christina Aguilera,woman
Christina Perri,woman
Ciara,woman
Ciara Featuring Chamillionaire,mixed
City Girls,woman
Clean Bandit Featuring Jess Glynne,mixed
Clean Bandit Featuring Sean Paul & Anne-Marie,mixed
Cobra Starship Featuring Leighton Meester,mixed
Cobra Starship Featuring Sabi,mixed
Colbie Caillat,woman
Colby O'Donis Featuring Akon,man
Coldplay,man
Crime Mob Featuring Lil Scrappy,mixed
D.R.A.M. Featuring Lil Yachty,man
D4L,man
DJ Khaled Featuring Drake,man
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",man
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",man
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",man
DJ Khaled Featuring Rihanna & Bryson Tiller,mixed
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",man
DJ Snake & AlunaGeorge,mixed
DJ Snake & Lil Jon,man
DJ Snake Featuring Bipolar Sunshine,man
DJ Snake Featuring Justin Bieber,man
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",mixed
DNCE,mixed
DaBaby,man
DaBaby Featuring Roddy Ricch,man
Daddy Yankee,man
Daddy Yankee & Katy Perry Featuring Snow,mixed
Daft Punk Featuring Pharrell Williams,man
Dan + Shay,man
Dan + Shay & Justin Bieber,man
Daniel Powter,man
Danity Kane,woman
Darius Rucker,man
Daughtry,man
David Archuleta,man
David Banner Featuring Chris Brown,man
David Cook,man
David Guetta Featuring Akon,man
David Guetta Featuring Flo Rida & Nicki Minaj,mixed
David Guetta Featuring Nicki Minaj,mixed
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",mixed
David Guetta Featuring Sia,mixed
David Guetta Featuring Usher,man
Daya,woman
Dean Lewis,man
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",mixed
Dem Franchize Boyz Featuring Lil Peanut & Charlay,man
Demi Lovato,woman
Desiigner,man
Dev,woman
Diddy - Dirty Money Featuring Skylar Grey,mixed
Diddy Featuring Keyshia Cole,mixed
Dierks Bentley,man
Disclosure Featuring Sam Smith,mixed
Doja Cat,woman
Doja Cat & Tyga,mixed
Dr. Dre Featuring Eminem & Skylar Grey,mixed
Drake,man
Drake & Future,man
"Drake Featuring Kanye West, Lil Wayne & Eminem",man
Drake Featuring Lil Durk,man
Drake Featuring Lil Wayne,man
Drake Featuring Majid Jordan,man
Drake Featuring Rick Ross,man
Drake Featuring Rihanna,mixed
Drake Featuring The Throne,man
Drake Featuring WizKid & Kyla,mixed
Dua Lipa,woman
Dustin Lynch,man
E-40 Featuring T-Pain & Kandi Girl,mixed
Echosmith,mixed
Ed Sheeran,man
Ed Sheeran & Justin Bieber,man
Ed Sheeran Featuring Khalid,man
Edward Maya & Vika Jigulina,mixed
Eli Young Band,man
Ella Henderson,woman
Ella Mai,woman
Elle King,woman
Ellie Goulding,woman
Ellie Goulding X Diplo Featuring Swae Lee,mixed
Elliott Yamin,man
Emeli Sande,woman
Eminem,man
Eminem Featuring Juice WRLD,man
Eminem Featuring Nate Dogg,man
Eminem Featuring Rihanna,mixed
"Eminem, Dr. Dre & 50 Cent",man
Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,man
Enrique Iglesias Featuring Ludacris & DJ Frank E,man
Enrique Iglesias Featuring Pitbull,man
Eric Church,man
Estelle Featuring Kanye West,mixed
Evanescence,mixed
Fabolous Featuring Ne-Yo,man
Fabolous Featuring The-Dream,man
Fall Out Boy,man
Far*East Movement Featuring Cataracs & Dev,mixed
Far*East Movement Featuring Ryan Tedder,man
Fat Joe Featuring Lil Wayne,man
Fergie,woman
Fergie Featuring Ludacris,mixed
Fetty Wap,man
Fetty Wap Featuring Monty,man
Fetty Wap Featuring Remy Boyz,man
Field Mob Featuring Ciara,mixed
Fifth Harmony Featuring Fetty Wap,mixed
Fifth Harmony Featuring Kid Ink,mixed
Fifth Harmony Featuring Ty Dolla $ign,mixed
Finger Eleven,man
Flipp Dinero,man
Flo Rida,man
Flo Rida Featuring David Guetta,man
Flo Rida Featuring Sage The Gemini & Lookas,man
Flo Rida Featuring Sia,mixed
Flo Rida Featuring T-Pain,man
Flo Rida Featuring Wynter,mixed
Flo Rida Featuring will.i.am,man
Florida Georgia Line,man
Florida Georgia Line Featuring Luke Bryan,man
Florida Georgia Line Featuring Nelly,man
Flume Featuring Kai,mixed
Fort Minor Featuring Holly Brook,mixed
Foster The People,man
French Montana Featuring Swae Lee,man
Future,man
Future Featuring Drake,man
Future Featuring The Weeknd,man
G-Eazy & Halsey,mixed
G-Eazy Featuring A$AP Rocky & Cardi B,mixed
G-Eazy x Bebe Rexha,mixed
Gabby Barrett Featuring Charlie Puth,mixed
Gavin DeGraw,man
Gavin Rossdale,man
George Ezra,man
Gnarls Barkley,man
Gorillaz,mixed
Gotye Featuring Kimbra,mixed
Green Day,man
Gucci Mane Featuring Drake,man
Gucci Mane Featuring Migos,man
Gucci Mane X Bruno Mars X Kodak Black,man
Gwen Stefani,woman
Gwen Stefani Featuring Akon,mixed
Gym Class Heroes Featuring Adam Levine,man
Gym Class Heroes Featuring Neon Hitch,mixed
Gym Class Heroes Featuring Patrick Stump,man
H.E.R. Featuring YG,mixed
Hailee Steinfeld & Grey Featuring Zedd,mixed
Halsey,woman
Harry Styles,man
Havana Brown Featuring Pitbull,mixed
Hellogoodbye,man
Hinder,man
Hot Chelle Rae,man
Hozier,man
Huey,man
Hunter Hayes,man
Hurricane Chris,man
I LOVE MAKONNEN Featuring Drake,man
Icona Pop Featuring Charli XCX,woman
Idina Menzel,woman
Iggy Azalea Featuring Charli XCX,woman
Iggy Azalea Featuring Rita Ora,woman
Imagine Dragons,man
Iyaz,man
J Balvin & Willy William Featuring Beyonce,mixed
J. Cole,man
J. Cole Featuring Miguel,man
J. Holiday,man
JP Saxe Featuring Julia Michaels,mixed
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",man
Jake Owen,man
James Arthur,man
James Bay,man
James Blunt,man
James Newton Howard Featuring Jennifer Lawrence,mixed
Jamie Foxx Featuring Ludacris,man
Jamie Foxx Featuring T-Pain,man
Jason Aldean,man
Jason Aldean With Kelly Clarkson,mixed
Jason Derulo,man
Jason Derulo Featuring 2 Chainz,man
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,mixed
Jason Derulo Featuring Snoop Dogg,man
Jason Mraz,man
Jawsh 685 x Jason Derulo,man
"Jay Rock, Kendrick Lamar, Future & James Blake",man
Jay Sean Featuring Lil Wayne,man
Jay Sean Featuring Sean Paul & Lil Jon,man
Jay Z Featuring Justin Timberlake,man
Jay Z Kanye West,man
Jay-Z + Alicia Keys,mixed
Jay-Z + Mr. Hudson,man
"Jay-Z, Rihanna & Kanye West",mixed
Jennifer Lopez Featuring Pitbull,mixed
Jeremih,man
Jeremih Featuring 50 Cent,man
Jeremih Featuring YG,man
Jerrod Niemann,man
Jesse McCartney,man
Jesse McCartney Featuring Ludacris,man
Jessie J,woman
Jessie J Featuring B.o.B,mixed
"Jessie J, Ariana Grande & Nicki Minaj",woman
Jhene Aiko,woman
Jibbs,man
Jidenna Featuring Roman GianArthur,man
Jim Jones,man
Jim Jones & Ron Browz Featuring Juelz Santana,man
JoJo,woman
John Legend,man
John Legend Featuring Andre 3000,man
John Mayer,man
Jon Bellion,man
Jonas Brothers,man
Jordin Sparks,woman
Jordin Sparks Duet With Chris Brown,mixed
Juelz Santana,man
Juice WRLD,man
Juice WRLD & YoungBoy Never Broke Again,man
Juice WRLD x Marshmello,man
Julia Michaels,woman
Justin Bieber,man
Justin Bieber Featuring Big Sean,man
Justin Bieber Featuring Ludacris,man
Justin Bieber Featuring Nicki Minaj,mixed
Justin Bieber Featuring Quavo,man
Justin Timberlake,man
Justin Timberlake Featuring Chris Stapleton,man
Justin Timberlake Featuring JAY Z,man
Justin Timberlake Featuring T.I.,man
KONGOS,man
KT Tunstall,woman
KYLE Featuring Lil Yachty,man
Kane Brown,man
Kane Brown Featuring Lauren Alaina,mixed
Kane Brown With Swae Lee & Khalid,man
Kanye West,man
Kanye West Featuring Dwele,man
Kanye West Featuring Jamie Foxx,man
Kanye West Featuring T-Pain,man
"Kanye West, Big Sean, Pusha T, 2 Chainz",man
Kardinal Offishall Featuring Akon,man
Karmin,mixed
Katy Perry,woman
Katy Perry Featuring Juicy J,mixed
Katy Perry Featuring Kanye West,mixed
Katy Perry Featuring Skip Marley,mixed
Katy Perry Featuring Snoop Dogg,mixed
Ke$ha,woman
Ke$ha Featuring 3OH!3,mixed
Keith Urban Featuring Carrie Underwood,mixed
Kelis Featuring Too $hort,mixed
Kelly Clarkson,woman
Kelly Rowland Featuring Lil Wayne,mixed
Kendrick Lamar,man
