artist,gender
Kendrick Lamar & SZA,mixed
Kendrick Lamar Featuring Rihanna,mixed
Kendrick Lamar Featuring Zacari,man
Kenny Chesney,man
Kenny Chesney Featuring Grace Potter,mixed
Kent Jones,man
Keri Hilson,woman
Keri Hilson Featuring Kanye West & Ne-Yo,mixed
Keri Hilson Featuring Lil Wayne,mixed
Kesha,woman
Kevin Gates,man
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",man
Kevin Rudolf Featuring Lil Wayne,man
Keyshia Cole,woman
Keyshia Cole Featuring Missy Elliott & Lil Kim,woman
Khalid,man
Khalid & Normani,mixed
Kid Cudi,man
Kid Ink Featuring Chris Brown,man
Kid Rock,man
Kiiara,woman
Kings Of Leon,man
Kip Moore,man
Kirko Bangz,man
Kodak Black,man
Kodak Black Featuring Travis Scott & Offset,man
Kris Allen,man
Kristinia DeBarge,woman
Kygo x Selena Gomez,mixed
LMFAO,man
LMFAO Featuring Lauren Bennett & GoonRock,mixed
La Roux,mixed
Lady Antebellum,mixed
Lady Gaga,woman
Lady Gaga & Ariana Grande,woman
Lady Gaga & Bradley Cooper,mixed
Lady Gaga Featuring Beyonce,woman
Lady Gaga Featuring Colby O'Donis,mixed
Lady Gaga Featuring R. Kelly,mixed
Lana Del Rey & Cedric Gervais,mixed
Lauren Daigle,woman
Lauv,man
Lee Brice,man
Leona Lewis,woman
Lewis Capaldi,man
Liam Payne Featuring Quavo,man
Lifehouse,man
Lil Baby,man
Lil Baby & 42 Dugg,man
Lil Baby & DaBaby,man
Lil Baby & Drake,man
Lil Baby & Gunna,man
Lil Dicky Featuring Chris Brown,man
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,man
Lil Mosey,man
Lil Nas X,man
Lil Nas X Featuring Billy Ray Cyrus,man
Lil Pump,man
Lil Tecca,man
Lil Uzi Vert,man
Lil Wayne,man
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,man
Lil Wayne Featuring Cory Gunz,man
Lil Wayne Featuring Drake,man
Lil Wayne Featuring Drake & Future,man
Lil Wayne Featuring Static Major,man
Lil Wayne Featuring T-Pain,man
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",man
Linkin Park,man
Little Big Town,mixed
Lizzo,woman
Lloyd,man
Lloyd Featuring Lil Wayne,man
Logic Featuring Alessia Cara & Khalid,mixed
Lorde,woman
Ludacris,man
Ludacris Featuring Mary J. Blige,mixed
Ludacris Featuring Nicki Minaj,mixed
Ludacris Featuring Pharrell,man
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,man
Lukas Graham,man
Luke Bryan,man
Luke Combs,man
Luke Combs Featuring Eric Church,man
Lupe Fiasco,man
Lupe Fiasco Featuring Matthew Santos,man
M.I.A.,woman
MAGIC!,man
MAX Featuring gnash,man
MKTO,man
Machine Gun Kelly x Camila Cabello,mixed
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",man
Macklemore & Ryan Lewis Featuring Mary Lambert,mixed
Macklemore & Ryan Lewis Featuring Ray Dalton,man
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,mixed
Macklemore & Ryan Lewis Featuring Wanz,man
Maddie & Tae,woman
Madonna,woman
Madonna Featuring Justin Timberlake & Timbaland,mixed
Major Lazer & DJ Snake Featuring MO,mixed
Major Lazer Featuring Justin Bieber & MO,mixed
Maren Morris,woman
Mariah Carey,woman
Mariah Carey Featuring Miguel,mixed
Marian Hill,mixed
Mario Featuring Gucci Mane & Sean Garrett,man
Mark Ronson Featuring Bruno Mars,man
Maroon 5,man
Maroon 5 Featuring Cardi B,mixed
Maroon 5 Featuring Christina Aguilera,mixed
Maroon 5 Featuring Future,man
Maroon 5 Featuring Kendrick Lamar,man
Maroon 5 Featuring SZA,mixed
Maroon 5 Featuring Wiz Khalifa,man
Marshmello & Anne-Marie,mixed
Marshmello & Bastille,man
Marshmello & Kane Brown,man
Martin Garrix,man
Mary J. Blige,woman
Maxwell,man
Meek Mill Featuring Chris Brown & Nicki Minaj,mixed
Meek Mill Featuring Drake,man
Megan Thee Stallion,woman
Megan Thee Stallion Featuring DaBaby,mixed
"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",mixed
Meghan Trainor,woman
Meghan Trainor Featuring John Legend,mixed
Metro Station,man
Michael Buble,man
Michael Franti & Spearhead Featuring Cherine Anderson,mixed
Michael Jackson & Justin Timberlake,man
Migos,man
Migos Featuring Drake,man
Migos Featuring Gucci Mane,man
Migos Featuring Lil Uzi Vert,man
"Migos, Nicki Minaj & Cardi B",mixed
Miguel,man
Miguel Featuring Travis Scott,man
Mike Posner,man
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",mixed
Miley Cyrus,nb
Mims,man
Miranda Lambert,woman
Miranda Lambert Duet With Carrie Underwood,woman
Moneybagg Yo,man
Morgan Wallen,man
Mr. Probz,man
Mumford & Sons,man
Mustard & Migos,man
Mustard & Roddy Ricch,man
My Chemical Romance,man
N*E*R*D & Rihanna,mixed
NF,man
NLE Choppa,man
NLE Choppa Featuring Roddy Ricch,man
Natalie La Rose Featuring Jeremih,mixed
Natasha Bedingfield,woman
Natasha Bedingfield Featuring Sean Kingston,mixed
Naughty Boy Featuring Sam Smith,mixed
Ne-Yo,man
Ne-Yo Featuring Juicy J,man
Nelly,man
"Nelly Featuring Paul Wall, Ali & Gipp",man
Nelly Furtado,woman
Nelly Furtado Featuring Timbaland,mixed
Neon Trees,mixed
New Boyz Featuring Ray J,man
New Boyz Featuring The Cataracs & Dev,mixed
Niall Horan,man
Nick Jonas,man
Nick Jonas Featuring Tove Lo,mixed
Nick Lachey,man
Nickelback,man
Nicki Minaj,woman
Nicki Minaj Featuring Drake,mixed
Nicki Minaj Featuring Drake & Lil Wayne,mixed
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",mixed
Nicky Jam & Enrique Iglesias,man
Nicky Jam x J Balvin,man
Nico & Vinz,man
O.T. Genasis,man
O.T. Genasis Featuring Young Dolph,man
OMI,man
Of Monsters And Men,mixed
Offset & Metro Boomin,man
Offset Featuring Cardi B,mixed
Old Dominion,man
Olly Murs Featuring Flo Rida,man
Omarion,man
Omarion Featuring Chris Brown & Jhene Aiko,mixed
One Direction,man
OneRepublic,man
Orianthi,woman
Owl City,man
Owl City & Carly Rae Jepsen,mixed
P!nk,woman
P!nk Featuring Nate Ruess,mixed
PSY,man
Panic! At The Disco,man
Paramore,mixed
Passenger,man
Paula DeAnda Featuring The DEY,mixed
Pharrell Williams,man
Phillip Phillips,man
Pinkfong,mixed
Pitbull,man
Pitbull & Ne-Yo,man
Pitbull Featuring Chris Brown,man
Pitbull Featuring Christina Aguilera,mixed
Pitbull Featuring Ke$ha,mixed
"Pitbull Featuring Ne-Yo, Afrojack & Nayer",mixed
Pitbull Featuring T-Pain,man
Plain White T's,man
Playboi Carti,man
Plies Featuring Akon,man
Plies Featuring Ne-Yo,man
Plies Featuring T-Pain,man
Polo G Featuring Lil Tjay,man
Pop Smoke,man
Pop Smoke Featuring 50 Cent & Roddy Ricch,man
Pop Smoke Featuring Lil Baby & DaBaby,man
Pop Smoke Featuring Lil Tjay,man
Portugal. The Man,man
Post Malone,man
Post Malone & Swae Lee,man
Post Malone Featuring 21 Savage,man
Post Malone Featuring Quavo,man
Post Malone Featuring Ty Dolla $ign,man
Post Malone Featuring Young Thug,man
Powfu Featuring beabadoobee,mixed
Pretty Ricky,man
R. City Featuring Adam Levine,man
R. Kelly Duet With Usher,man
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),man
Rachel Platten,woman
Rae Sremmurd,man
Rae Sremmurd & Juicy J,man
Rae Sremmurd Featuring Gucci Mane,man
Randy Houser,man
Rascal Flatts,man
Ray J,man
Ray J & Yung Berg,man
Red Hot Chili Peppers,man
Rich Boy Featuring Polow Da Don,man
Rich Gang Featuring Young Thug & Rich Homie Quan,man
Rich Homie Quan,man
Rich The Kid,man
Rick Ross Featuring T-Pain,man
Rihanna,woman
Rihanna & Kanye West & Paul McCartney,mixed
Rihanna & Sean Paul,mixed
Rihanna Featuring Calvin Harris,mixed
Rihanna Featuring Chris Brown,mixed
Rihanna Featuring Drake,mixed
Rihanna Featuring Jay-Z,mixed
Rihanna Featuring Jeezy,mixed
Rihanna Featuring Mikky Ekko,mixed
Rihanna Featuring Ne-Yo,mixed
Rixton,man
Rob Thomas,man
Robin Thicke,man
Robin Thicke Featuring T.I. + Pharrell,man
Rocko Featuring Future & Rick Ross,man
Rod Wave,man
Rod Wave Featuring ATR Son Son,man
Roddy Ricch,man
Roddy Ricch Featuring Mustard,man
Rodney Atkins,man
Ruth B,woman
SAINt JHN,man
SHAED,mixed
SZA Featuring Travis Scott,mixed
Sam Hunt,man
Sam Smith,nb
Sam Smith & Normani,mixed
Santana Featuring Chad Kroeger,man
Sara Bareilles,woman
Saving Abel,man
Saweetie,woman
ScHoolboy Q Featuring BJ The Chicago Kid,man
Sean Kingston,man
Sean Kingston & Justin Bieber,man
Sean Paul,man
Sean Paul Featuring Keyshia Cole,mixed
Secondhand Serenade,man
Selena Gomez,woman
Selena Gomez & The Scene,mixed
Selena Gomez Featuring A$AP Rocky,mixed
Selena Gomez X Marshmello,mixed
Shakira,woman
Shakira Featuring Rihanna,woman
Shakira Featuring Wyclef Jean,mixed
Shawn Mendes,man
Shawn Mendes & Camila Cabello,mixed
Sheck Wes,man
Shinedown,man
Shontelle,woman
Shop Boyz,man
Sia,woman
Sia Featuring Sean Paul,man
Silento,man
Skrillex & Diplo With Justin Bieber,man
Snoop Dogg,man
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,man
Snoop Dogg Featuring R. Kelly,man
Snow Patrol,man
Soulja Boy Tell 'em Featuring Sammie,man
Soulja Boy Tell'em,man
StaySolidRocky,man
Sugarland,mixed
Surfaces,man
Swedish House Mafia Featuring John Martin,man
T-Pain,man
T-Pain Featuring Akon,man
T-Pain Featuring Lil Wayne,man
T-Pain Featuring Mike Jones,man
T-Pain Featuring Wiz Khalifa & Lily Allen,mixed
T-Pain Featuring Yung Joc,man
T-Wayne,man
T.I.,man
T.I. Featuring Iggy Azalea,mixed
T.I. Featuring Justin Timberlake,man
T.I. Featuring Rihanna,mixed
"THE SCOTTS, Travis Scott & Kid Cudi",man
Taio Cruz,man
Taio Cruz Featuring Ludacris,man
Taylor Hicks,man
Taylor Swift,woman
Taylor Swift Featuring Brendon Urie,mixed
Taylor Swift Featuring Kendrick Lamar,mixed
Teddy Geiger,nb
The All-American Rejects,man
The Band Perry,mixed
The Black Eyed Peas,mixed
The Chainsmokers,man
The Chainsmokers & Coldplay,man
The Chainsmokers Featuring Daya,mixed
The Chainsmokers Featuring Halsey,mixed
The Chainsmokers Featuring Rozes,mixed
The Fray,man
The Game Featuring Lil Wayne,man
The Lumineers,mixed
The Neighbourhood,man
The Pussycat Dolls,woman
The Pussycat Dolls Featuring Snoop Dogg,mixed
The Pussycat Dolls Featuring will.i.am,mixed
The Red Jumpsuit Apparatus,man
The Script,man
The Script Featuring will.i.am,man
The Veronicas,woman
The Wanted,man
The Weeknd,man
The Weeknd & Kendrick Lamar,man
The Weeknd Featuring Daft Punk,man
The-Dream,man
Thomas Rhett,man
Thompson Square,mixed
"Three 6 Mafia Featuring Project Pat, Young D & Superpower",man
Three 6 Mafia Featuring Young Buck & Eightball & MJG,man
Tim McGraw,man
Tim McGraw With Taylor Swift,mixed
Timbaland Featuring Drake,man
Timbaland Featuring Justin Timberlake,man
Timbaland Featuring Keri Hilson,mixed
Timbaland Featuring Nelly Furtado & Justin Timberlake,mixed
Timbaland Featuring OneRepublic,man
Tinashe Featuring ScHoolboy Q,mixed
Tinie Tempah Featuring Eric Turner,man
Toby Keith,man
Tones And I,woman
Tory Lanez,man
Tove Lo,woman
Trace Adkins,man
Train,man
Travie McCoy Featuring Bruno Mars,man
Travis Scott,man
Trevor Daniel,man
Trey Songz,man
Trey Songz Featuring Fabolous,man
Trey Songz Featuring Nicki Minaj,woman
Tyga,man
Tyga Featuring Offset,man
Uncle Kracker,man
Unk,man
Usher,man
Usher Featuring Juicy J,man
Usher Featuring Pitbull,man
Usher Featuring Plies,man
Usher Featuring Young Jeezy,man
Usher Featuring Young Thug,man
Usher Featuring will.i.am,man
Vance Joy,man
WALK THE MOON,man
Waka Flocka Flame Featuring Roscoe Dash & Wale,man
Wale Featuring Tiara Thomas Or Rihanna,mixed
Webbie Featuring Lil' Phat & Lil' Boosie,man
Wiz Khalifa,man
Wiz Khalifa Featuring Charlie Puth,man
"Wyclef Jean Featuring Akon, Lil Wayne & Niia",mixed
X Ambassadors,man
XXXTENTACION,man
YFN Lucci Featuring PnB Rock,man
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",mixed
YG Featuring Jeezy & Rich Homie Quan,man
YK Osiris,man
YNW Melly,man
YNW Melly & Juice WRLD,man
Ylvis,man
Yo Gotti Featuring Nicki Minaj,mixed
Young Dro Featuring T.I.,man
Young Jeezy Featuring Akon,man
Young Jeezy Featuring Kanye West,man
Young Jeezy Featuring R. Kelly,man
Young Money,man
Young Money Featuring Lloyd,man
Young Thug Featuring Gunna,man
"Young Thug, J. Cole & Travis Scott",man
YoungBoy Never Broke Again,man
Yung Joc,man
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,mixed
Zac Brown Band,man
Zac Brown Band Featuring Jimmy Buffett,man
Zara Larsson & MNEK,mixed
Zay Hilfigerrr & Zayion McCall,man
Zayn,man
Zayn / Taylor Swift,mixed
Zedd & Alessia Cara,mixed
Zedd Featuring Foxes,mixed
Zedd Featuring Hayley Williams,mixed
"Zedd, Maren Morris & Grey",mixed
"benny blanco, Halsey & Khalid",mixed
blackbear,man
fun.,man
fun. Featuring Janelle Monae,mixed
gnash Featuring Olivia O'Brien,mixed
iLoveMemphis,man
surf mesa Featuring Emilee,mixed
twenty one pilots,man
will.i.am & Britney Spears,woman
will.i.am Featuring Justin Bieber,man
